neural_subject,behavior_subject,roi,metric,spearman_r,same_subject
sub-002,sub-004,RH_IFGorb,euclidean,-0.01383488850583533,False
sub-002,sub-004,RH_IFGorb,cosine,0.07704548880549472,False
sub-002,sub-004,RH_IFG,correlation,-0.04104368390583366,False
sub-002,sub-004,RH_IFG,euclidean,-0.14025122159745324,False
sub-002,sub-004,RH_IFG,cosine,-0.04106716247239088,False
sub-002,sub-004,RH_MFG,correlation,-0.06892648596041377,False
sub-002,sub-004,RH_MFG,euclidean,-0.14650854590893578,False
sub-002,sub-004,RH_MFG,cosine,-0.06892648596041377,False
sub-002,sub-004,RH_AntTemp,correlation,0.0631058057220991,False
sub-002,sub-004,RH_AntTemp,euclidean,-0.007055309250445754,False
sub-002,sub-004,RH_AntTemp,cosine,0.06313558341626924,False
sub-002,sub-004,RH_PostTemp,correlation,-0.03815753816318957,False
sub-002,sub-004,RH_PostTemp,euclidean,-0.07249322380923495,False
sub-002,sub-004,RH_PostTemp,cosine,-0.03815753816318957,False
sub-002,sub-004,ALL,correlation,-0.013452645989324427,False
sub-002,sub-004,ALL,euclidean,-0.10465227454103623,False
sub-002,sub-004,ALL,cosine,-0.013452645989324427,False
sub-003,sub-001,LH_IFGorb,correlation,0.0006493858901337147,False
sub-003,sub-001,LH_IFGorb,euclidean,0.02289635710910912,False
sub-003,sub-001,LH_IFGorb,cosine,0.0006493858901337147,False
sub-003,sub-001,LH_IFG,correlation,0.0031248300340736388,False
sub-003,sub-001,LH_IFG,euclidean,-0.010363295213661862,False
sub-003,sub-001,LH_IFG,cosine,0.003201463859945869,False
sub-003,sub-001,LH_MFG,correlation,0.034443187417118604,False
sub-003,sub-001,LH_MFG,euclidean,-0.0268029665459241,False
sub-003,sub-001,LH_MFG,cosine,0.034443187417118604,False
sub-003,sub-001,LH_AntTemp,correlation,-0.06710063512314735,False
sub-003,sub-001,LH_AntTemp,euclidean,-0.12646811656387452,False
sub-003,sub-001,LH_AntTemp,cosine,-0.06710063512314735,False
sub-003,sub-001,LH_PostTemp,correlation,0.061377403687204464,False
sub-003,sub-001,LH_PostTemp,euclidean,-0.012499320136294555,False
sub-003,sub-001,LH_PostTemp,cosine,0.061377403687204464,False
sub-003,sub-001,RH_IFGorb,correlation,-0.03570735959689894,False
sub-003,sub-001,RH_IFGorb,euclidean,-0.0148906958294642,False
sub-003,sub-001,RH_IFGorb,cosine,-0.03570735959689894,False
sub-003,sub-001,RH_IFG,correlation,-0.06858355684319731,False
sub-003,sub-001,RH_IFG,euclidean,0.005558239952628423,False
sub-003,sub-001,RH_IFG,cosine,-0.06840769936964722,False
sub-003,sub-001,RH_MFG,correlation,0.03415438083454042,False
sub-003,sub-001,RH_MFG,euclidean,0.09252047549092227,False
sub-003,sub-001,RH_MFG,cosine,0.03415438083454042,False
sub-003,sub-001,RH_AntTemp,correlation,0.016982398949820045,False
sub-003,sub-001,RH_AntTemp,euclidean,-0.05879158395823961,False
sub-003,sub-001,RH_AntTemp,cosine,0.016906051071059275,False
sub-003,sub-001,RH_PostTemp,correlation,0.007957622164919043,False
sub-003,sub-001,RH_PostTemp,euclidean,-0.043757914573043635,False
sub-003,sub-001,RH_PostTemp,cosine,0.007861543935467293,False
sub-003,sub-001,ALL,correlation,0.035295595756391435,False
sub-003,sub-001,ALL,euclidean,-0.034662508851611144,False
sub-003,sub-001,ALL,cosine,0.03526814483369094,False
sub-003,sub-002,LH_IFGorb,correlation,-0.033984792978172716,False
sub-003,sub-002,LH_IFGorb,euclidean,0.012328075034405908,False
sub-003,sub-002,LH_IFGorb,cosine,-0.033984792978172716,False
sub-003,sub-002,LH_IFG,correlation,0.06646801080077319,False
sub-003,sub-002,LH_IFG,euclidean,-0.002431979723396363,False
sub-003,sub-002,LH_IFG,cosine,0.06657955638375855,False
sub-003,sub-002,LH_MFG,correlation,0.0800739977961499,False
sub-003,sub-002,LH_MFG,euclidean,-0.006702173451528516,False
sub-003,sub-002,LH_MFG,cosine,0.0800739977961499,False
sub-003,sub-002,LH_AntTemp,correlation,-0.028542512585748168,False
sub-003,sub-002,LH_AntTemp,euclidean,-0.05519332648979063,False
sub-003,sub-002,LH_AntTemp,cosine,-0.028542512585748168,False
sub-003,sub-002,LH_PostTemp,correlation,0.04441058680120509,False
sub-003,sub-002,LH_PostTemp,euclidean,-0.011820971653295504,False
sub-003,sub-002,LH_PostTemp,cosine,0.04441058680120509,False
sub-003,sub-002,RH_IFGorb,correlation,-0.018419607922668373,False
sub-003,sub-002,RH_IFGorb,euclidean,-0.011759478575495879,False
sub-003,sub-002,RH_IFGorb,cosine,-0.018419607922668373,False
sub-003,sub-002,RH_IFG,correlation,0.017575865692394436,False
