random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,38.0,24.0,miserable,3.0,low,low,172,174,194.5711,22.5649,172.0062,174.0062,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,174,176,196.5711,22.5649,174.0062,176.0062,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,39.0,21.0,amused,1.0,high ,high,176,178,198.5707,22.5649,176.0058,178.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,178,180,200.5707,22.5649,178.0058,180.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,40.0,3.0,pleased,4.0,low,high,180,182,202.5699,22.5649,180.005,182.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,182,184,204.5699,22.5649,182.005,184.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,41.0,1.0,depressed,3.0,low,low,184,186,206.5712,22.5649,184.0063,186.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,186,188,208.5712,22.5649,186.0063,188.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,42.0,14.0,droopy,3.0,low,low,188,190,210.5699,22.5649,188.005,190.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,190,192,212.5699,22.5649,190.005,192.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,43.0,12.0,content,4.0,low,high,192,194,214.5696,22.5649,192.0047,194.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,194,196,216.5696,22.5649,194.0047,196.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,44.0,7.0,astonished,1.0,high ,high,196,198,218.5709,22.5649,196.006,198.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,198,200,220.5709,22.5649,198.006,200.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,45.0,9.0,calm,4.0,low,high,200,202,222.571,22.5649,200.0061,202.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,202,204,224.571,22.5649,202.0061,204.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,46.0,18.0,aroused,1.0,high ,high,204,206,226.5704,22.5649,204.0055,206.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,206,208,228.5704,22.5649,206.0055,208.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,47.0,2.0,alarmed,2.0,high,low,208,210,230.5692,22.5649,208.0043,210.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,210,212,232.5692,22.5649,210.0043,212.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,212,222,234.5666,22.5649,212.0017,222.0017,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,48.0,8.0,afraid,2.0,high,low,222,224,244.5708,22.5649,222.0059,224.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,224,226,246.5708,22.5649,224.0059,226.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,49.0,24.0,miserable,3.0,low,low,226,228,248.57,22.5649,226.0051,228.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,228,230,250.57,22.5649,228.0051,230.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,50.0,17.0,bored,3.0,low,low,230,232,252.5708,22.5649,230.0059,232.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,232,234,254.5708,22.5649,232.0059,234.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,51.0,14.0,droopy,3.0,low,low,234,236,256.5699,22.5649,234.005,236.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,236,238,258.5699,22.5649,236.005,238.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,52.0,19.0,glad,1.0,high ,high,238,240,260.5705,22.5649,238.0056,240.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,240,242,262.5705,22.5649,240.0056,242.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,53.0,10.0,sleepy,4.0,low,high,242,244,264.5698,22.5649,242.0049,244.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,244,246,266.5698,22.5649,244.0049,246.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,54.0,20.0,serene,4.0,low,high,246,248,268.57,22.5649,246.0051,248.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,248,250,270.57,22.5649,248.0051,250.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,55.0,6.0,satisfied,4.0,low,high,250,252,272.5701,22.5649,250.0052,252.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,252,254,274.5701,22.5649,252.0052,254.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,56.0,5.0,annoyed,2.0,high,low,254,256,276.571,22.5649,254.0061,256.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,256,258,278.571,22.5649,256.0061,258.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,57.0,18.0,aroused,1.0,high ,high,258,260,280.5708,22.5649,258.0059,260.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,260,262,282.5708,22.5649,260.0059,262.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,58.0,16.0,excited,1.0,high ,high,262,264,284.5699,22.5649,262.005,264.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,264,266,286.5699,22.5649,264.005,266.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,59.0,15.0,tired,3.0,low,low,266,268,288.5707,22.5649,266.0058,268.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,268,270,290.5707,22.5649,268.0058,270.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,60.0,2.0,alarmed,2.0,high,low,270,272,292.5703,22.5649,270.0054,272.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,272,274,294.5703,22.5649,272.0054,274.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,61.0,9.0,calm,4.0,low,high,274,276,296.5696,22.5649,274.0047,276.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,276,278,298.5696,22.5649,276.0047,278.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,62.0,12.0,content,4.0,low,high,278,280,300.5682,22.5649,278.0033,280.0033,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,280,282,302.5682,22.5649,280.0033,282.0033,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,63.0,3.0,pleased,4.0,low,high,282,284,304.57,22.5649,282.0051,284.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,284,286,306.57,22.5649,284.0051,286.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,64.0,13.0,angry,2.0,high,low,286,288,308.5712,22.5649,286.0063,288.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,288,290,310.5712,22.5649,288.0063,290.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,65.0,1.0,depressed,3.0,low,low,290,292,312.5695,22.5649,290.0046,292.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,292,294,314.5695,22.5649,292.0046,294.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,66.0,22.0,delighted,1.0,high ,high,294,296,316.5705,22.5649,294.0056,296.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,296,298,318.5705,22.5649,296.0056,298.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,67.0,21.0,amused,1.0,high ,high,298,300,320.5691,22.5649,298.0042,300.0042,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,300,302,322.5691,22.5649,300.0042,302.0042,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,68.0,7.0,astonished,1.0,high ,high,302,304,324.5708,22.5649,302.0059,304.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,304,306,326.5708,22.5649,304.0059,306.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,69.0,23.0,gloomy,3.0,low,low,306,308,328.5698,22.5649,306.0049,308.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,308,310,330.5698,22.5649,308.0049,310.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,70.0,4.0,distressed,2.0,high,low,310,312,332.5697,22.5649,310.0048,312.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,312,314,334.5697,22.5649,312.0048,314.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,71.0,11.0,frustrated,2.0,high,low,314,316,336.5703,22.5649,314.0054,316.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,316,318,338.5703,22.5649,316.0054,318.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,318,328,340.5665,22.5649,318.0016,328.0016,350.5665,328.0016
